date,US_INTERNET,US_SEMICONDUCTOR,US_NEW_ENERGY,US_HEALTHCARE,US_FINANCIALS,US_REAL_ESTATE_CHAIN,US_ENERGY,US_MATERIALS,US_INDUSTRIALS,US_UTILITIES,CN_INTERNET,CN_SEMICONDUCTOR,CN_NEW_ENERGY,CN_HEALTHCARE,CN_FINANCIALS,CN_REAL_ESTATE_CHAIN,CN_ENERGY,CN_MATERIALS,CN_INDUSTRIALS,CN_UTILITIES
2023-07-25,68468005.75256348,890806514.302063,20081074.407577515,1008291342.8390503,1221709317.4331665,135421201.08184814,1314364274.2332458,707224901.4625549,920880150.6408691,521925031.8557739,1392785171.0681915,479731757.3930025,272143678.91256464,641761938.0548284,135198880.64495063,542321696.1699271,18244568.913435936,169660333.37068558,338809400.51732063,204974902.47835618
2023-07-26,74982378.43017578,932385571.1364746,6208350.163650513,1059586988.3239746,1209285814.4813538,286544720.2987671,1282795478.6376953,496214739.84375,1116318538.256836,723693794.1707611,631907826.3479557,291577448.24404716,181225545.01007795,646094273.899071,101747746.820198,556825807.521792,11288777.491259575,222546714.5857811,199631864.65164828,188395744.01762402
2023-07-27,92808258.0444336,1591329182.7392578,6546291.4878845215,1128117231.8481445,1476556318.9483643,200914384.54818726,1381998790.4457092,563603927.2247314,1241195931.0791016,986306771.3611603,934568337.6024723,518640463.1864548,213563886.93573856,601494251.4543977,121096943.29125202,386926854.1565162,9383248.044967651,100091906.99958801,332111380.25245094,125898057.28243625
2023-07-28,133784005.24291992,1159029391.2353516,10602372.741699219,886782172.4121094,1088411353.004837,128434442.16156006,1350214594.9745178,327187248.7548828,787737237.4023438,809582922.6074219,1546447849.8112798,497859231.3827382,317064931.2675054,682215851.0737453,147487821.47771716,639952597.1092925,13132419.913065434,224224514.5186937,526931058.3766544,151554919.50999928
2023-07-31,65940318.548583984,623397752.5314331,5994500.44631958,1242056224.3240356,964540890.8615112,137027969.69604492,1440956470.0836182,445095532.3913574,696599415.3808594,767499351.4537811,2116618850.5844574,533105078.9440155,346723557.83139324,1239989309.96587,95961050.28605676,489890476.52793676,10023005.742430687,266767488.14395666,374345831.24785423,248065593.921943
2023-08-01,76249582.11669922,727811039.9169922,20081663.276672363,1339564625.416565,892211274.4010925,153673624.73831177,1414414157.2723389,607148368.5348511,954980457.0007324,814795357.7339172,1694752227.7014763,369885287.67938256,205313081.21557236,883990579.2450523,72355644.49154139,299468328.9829016,17869424.83127117,295326500.58174133,383679211.4068866,208618853.59688264
2023-08-02,153477506.85882568,1530776505.7632446,8438487.882614136,1761798180.2978516,1634411643.599701,327937261.04125977,1792190979.0039062,810325114.3226624,1039679269.6876526,918171784.7537994,1536705424.9495673,434054220.0952567,183703406.20483875,878256858.0800602,56087819.62237358,381698791.25413334,11431383.161497116,117082115.19756317,225822604.66594696,98440837.75116408
2023-08-03,106379441.6091919,1017918192.9824829,7846404.466247559,1499030629.9041748,1065017589.3981934,348832100.66070557,1641232537.2802734,741605182.824707,833492263.8244629,1220571718.182373,1486004316.366414,382503413.13522816,158057780.85457683,737003229.4226927,81989585.2621026,431620907.78687775,9059833.60530138,199012079.79852748,209976622.35039234,97940721.03974211
2023-08-04,172688095.26062012,1035434035.4858398,4413516.61529541,1590402340.4663086,1205058028.6396027,216785679.19082642,1705782247.9057312,670154212.2650146,1102047928.5964966,1067020584.3635559,1277650432.4923267,470901065.55787516,284861037.9528973,704314623.729372,80436897.34936953,571403892.8584497,11192458.924508095,200897648.1021459,264405855.38974357,122036980.021945
2023-08-07,94099200.0,876951807.2875977,6396727.104187012,1040016797.3388672,1118112818.694687,207870761.3067627,1060086742.4316406,409828833.8920593,888034854.7744751,734618464.8853302,695791804.0808809,344121901.2368202,261977201.9533887,1626261995.9220724,72318430.54565191,480733524.47944164,13790394.200277328,123671791.99546576,261067222.2511989,98832058.24431884
