left_id,right_id,left_market,right_market,left_sector,right_sector,left_ticker,right_ticker,same_sector,cross_market,observations,pearson,spearman,tail_alpha,lower_left_tail_count,lower_right_tail_count,lower_both_tail_count,lower_both_tail_probability,lower_tail_dependence,lower_co_crash_lift_vs_independence,lower_right_given_left_tail,lower_left_given_right_tail,lower_tail_union_pearson,lower_avg_left_return_when_both_tail,lower_avg_right_return_when_both_tail,upper_left_tail_count,upper_right_tail_count,upper_both_tail_count,upper_both_tail_probability,upper_tail_dependence,upper_co_rally_lift_vs_independence,upper_right_given_left_tail,upper_left_given_right_tail,upper_tail_union_pearson,upper_avg_left_return_when_both_tail,upper_avg_right_return_when_both_tail,middle_both_count,middle_both_probability,middle_pearson,middle_spearman
US_ENERGY,US_INDUSTRIALS,US,US,Energy,Industrials,XLE,XLI,False,False,1699,0.5039469105360094,0.475200358115947,0.05,84,84,30,0.017657445556209534,0.35314891112419067,7.062978222483812,0.35714285714285715,0.35714285714285715,-0.10658965258478688,-2.6331671394378158,-2.533004705749236,85,85,17,0.010005885815185403,0.20011771630370803,4.00235432607416,0.2,0.2,-0.31616708978410957,2.2826926593150043,2.2244222532965447,1411,0.8304885226603884,0.3734682380026869,0.37907082990227076
CN_NEW_ENERGY,CN_INDUSTRIALS,CN,CN,New Energy,Industrials,515030.SS,512660.SS,False,False,1497,0.5429228487844081,0.5494234114831549,0.05,74,74,26,0.01736806947227789,0.3473613894455578,6.947227788911155,0.35135135135135137,0.35135135135135137,-0.2112496346250642,-2.2001294967293226,-2.450662733513703,75,75,17,0.011356045424181697,0.22712090848363392,4.542418169672678,0.22666666666666666,0.22666666666666666,-0.4534939944928948,2.533357687549441,2.428266408729715,1244,0.8309953239812959,0.423433443748979,0.43324982432127807
US_INTERNET,US_REAL_ESTATE_CHAIN,US,US,Internet,Real Estate Chain,FDN,XHB,False,False,1699,0.5226614751895856,0.5111210783508315,0.05,84,84,28,0.0164802825191289,0.32960565038257794,6.592113007651558,0.3333333333333333,0.3333333333333333,-0.19123095637486082,-2.5891252089230052,-2.667653647293414,85,85,21,0.012360211889346674,0.24720423778693346,4.944084755738668,0.24705882352941178,0.24705882352941178,-0.38348397626108677,2.132929505694866,2.1968309180019525,1410,0.8298999411418482,0.4299225489337718,0.4370863696768044
CN_ENERGY,CN_UTILITIES,CN,CN,Energy,Utilities,159945.SZ,159611.SZ,False,False,1056,0.4531295992595798,0.4278123582265009,0.05,52,52,17,0.016098484848484848,0.32196969696969696,6.439393939393938,0.3269230769230769,0.3269230769230769,-0.1952284935597929,-2.455882434970768,-2.516740098624333,53,53,9,0.008522727272727272,0.17045454545454544,3.4090909090909083,0.16981132075471697,0.16981132075471697,-0.46340837365799836,2.4642277133722894,2.3078445396528364,873,0.8267045454545454,0.31175778093376477,0.3032031743565115
US_NEW_ENERGY,US_INDUSTRIALS,US,US,New Energy,Industrials,QCLN,XLI,False,False,1699,0.596909600977824,0.579389309054723,0.05,84,84,27,0.015891701000588582,0.31783402001177163,6.356680400235431,0.32142857142857145,0.32142857142857145,-0.1359348606162914,-2.455737082719426,-2.446459651473572,85,85,21,0.012360211889346674,0.24720423778693346,4.944084755738668,0.24705882352941178,0.24705882352941178,-0.3171491184476802,2.3301454739200773,2.19832561159082,1409,0.8293113596233078,0.4591840095776357,0.4599293039496028
CN_FINANCIALS,CN_REAL_ESTATE_CHAIN,CN,CN,Financials,Real Estate Chain,510230.SS,512200.SS,False,False,1653,0.31831313936193445,0.54211478149684,0.05,82,82,26,0.01572897761645493,0.31457955232909857,6.291591046581971,0.3170731707317073,0.3170731707317073,-0.21146452846584823,-2.3802637288286093,-1.3359632154051573,83,83,24,0.014519056261343012,0.2903811252268602,5.807622504537203,0.2891566265060241,0.2891566265060241,-0.18366167639788464,2.784357181426014,1.6356547277392182,1373,0.8306110102843315,0.40060160373951953,0.40263550946542914
CN_SEMICONDUCTOR,CN_NEW_ENERGY,CN,CN,Semiconductor,New Energy,512760.SS,515030.SS,False,False,1497,0.43836141463084916,0.5605357241402834,0.05,74,74,23,0.015364061456245824,0.30728122912491646,6.145624582498328,0.3108108108108108,0.3108108108108108,-0.40979178261506194,-2.2718673004231236,-2.3209123902350277,75,75,17,0.011356045424181697,0.22712090848363392,4.542418169672678,0.22666666666666666,0.22666666666666666,-0.40270910558758694,2.3829268721504904,2.401594204172633,1241,0.8289913159652639,0.4364229689594228,0.4479166501852138
US_NEW_ENERGY,US_REAL_ESTATE_CHAIN,US,US,New Energy,Real Estate Chain,QCLN,XHB,False,False,1699,0.5757657960723854,0.5659571667782618,0.05,84,84,26,0.015303119482048263,0.3060623896409652,6.121247792819304,0.30952380952380953,0.30952380952380953,-0.15469304831280323,-2.4654817350498766,-2.537853305309187,85,85,22,0.012948793407886992,0.2589758681577398,5.179517363154796,0.25882352941176473,0.25882352941176473,-0.3014421353558853,2.2833708508614703,2.3458393364097145,1410,0.8298999411418482,0.46188261932340263,0.4640805175023766
CN_FINANCIALS,CN_UTILITIES,CN,CN,Financials,Utilities,510230.SS,159611.SZ,False,False,1056,0.37855113144921004,0.33617240391196007,0.05,52,52,16,0.015151515151515152,0.30303030303030304,6.06060606060606,0.3076923076923077,0.3076923076923077,-0.16167635690057436,-2.3766762880835284,-2.4642688284491174,53,53,6,0.005681818181818182,0.11363636363636363,2.2727272727272725,0.11320754716981132,0.11320754716981132,-0.4898440252905333,3.0642486984747426,2.2917624308334856,869,0.8229166666666666,0.21099719836818137,0.2176087299585983
CN_INDUSTRIALS,CN_UTILITIES,CN,CN,Industrials,Utilities,512660.SS,159611.SZ,False,False,1056,0.33458622674383987,0.31685341195949773,0.05,52,52,16,0.015151515151515152,0.30303030303030304,6.06060606060606,0.3076923076923077,0.3076923076923077,-0.3799215639200384,-2.385695387765298,-2.2396834949574638,53,53,10,0.00946969696969697,0.1893939393939394,3.787878787878787,0.18867924528301888,0.18867924528301888,-0.5758798279466072,2.2343291676783723,2.2112483108761376,873,0.8267045454545454,0.22586555793488022,0.22918818806708188
